SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
252,Glands,"Glands are organs of the body which produce natural substances such as hormones and breast milk, and fluids that keep the body in fluid balance. Salivary glands are organs that produce saliva and release it into the mouth, particularly when we are hungry and when we are chewing food. ",ፅኪታት,ፅክታት ማለት ኣካል ሰብነት ኮይኖም ናይ ተጥሮ ቀመማት ዘምሩቱ እዮም:: ንኣብነት ፀባ ጡብ ኣደ ምራቅ ንሰብነት ዝጠቅሙ ፈሰስቲ ካልአትን ,,,,
253,Glucagon,"The action of the hormone glucagon works in the opposite direction to insulin. Glucagon causes the blood glucose level to rise if it has fallen too low. It does this by stimulating the liver, muscles and body fat to release their stored glucose back into the blood.",ጉሉካጎን,ግሉካጐን ኣንፃር ኢንሱሊን እዩ ዝሰርሕ:: ግሉካጐን ኣብ ሰብነትና መጠን ግሉኮስ ንኽውስኽ ይገብር :: እዙይ ድማ ግልካጎን ንፀላም ከብዲ ጭዋዳታትን ናይ ሰብነትና ስብሒ ብምንቅቀሕ ዝግበሮ እዩ ::   ,,,,
254,Glucose,The simplest form of sugar. It is the principal circulating sugar in the blood of humans and other mammals.,ዝነኣሰ ክፋል ሽኮር ,ግልኮስ ዝነኣስ ክፋል ሽኮር እዩ:: ኣብ ደም ስር ዝሰራጮ ውን ግልኮስ እዩ ብወናንት:: ,,,,
255,Glycogen,A carbohydrate stored in the liver and muscles of animals that is converted to glucose for energy when glucose levels in the blood are depleted. It is also called animal starch.,ግላይኮጅን,ግላይኮጅን ኣብ ፀላም ከብድን ጭዋዳታትን ዝኽዘን ኮይኑ ኣብ ሰብነትና መጠን ግልኮስ ክቅንስ ከሎ ናብ ሰብነትና ይርጨ እዩምእንታን ሓይለ ክንረክብ:: ናይ እንስሳት ስታረች እናተብሃለ ውን ይፅዋዕ እዩ:: ,,,,
256,Goal,A goal is the overall purpose of a project. It is a broad statement of what you are trying to do. ,ዕላማ ሽቶ ,ሽቶ ማለት ጠቅላላ ናይቲ ፕሮጀክት ዕላማ ማለት እዩ::እንታይ ክትገብር ከም ዝደለኻ ዘመላኽት እዩ::,,,,
257,Goitre,A swelling of the thyroid gland. Goitre is common as a result of too little iodine in the diet. ,ሕፈስ,ሕበጥ ታይሮይድ ግላንድ ሕፈስ ይበሃል:: ብዋሕዲ ኣዮዲን ድማ ይመፅእ::,,,,
258,Gonorhoea,"Gonorhoea is one of the most common Sexually Transmitted Infection and is caused by bacteria called Neisseria gonorrhoeae. It  affects  the  mucous  membrane  chiefly  of  the  genital  and  urinary  tracts  and  is  characterized  by  an  acute  purulent  discharge  and  painful  or  difficult  urination,  though  women  often  have  no  symptoms. ",ጎነርያ,ግነርያ ማለት እቲ ብኣብዝሓ ዝርአ ብግብረ ስጋ ዝመሓላልፍ ሕማም ኮይኑ ብኒሰርያ ጎነርዬ ድማ ይመፅእ:: ነቲ ውሽጠዋይ ኣካል ብልዕቲ ዘጥቅዕ ኮይኑ  ሽታ ዘለዎ ምግሊ ምርኣይን ቃንዛ ኣብ ጊዜ ሽንቲ ቀንዲ ምልክታቱ እዮም:: ኣብ ደቂ ኣነስትዮ ግን ምልክት ዘይክረአ ይኽእል እዩ::,,,,
259,Gravidity,"Gravidity is the total number of previous pregnancies, regardless of the outcome, including spontaneous miscarriage or abortion before 28 weeks of gestation.",በዝሒ ጥንሲ ,ግራቩዲቲ ማለት በዝሒ ሕሉፍ ጥንሲ ማልት እዩ:: ውፂኢት ጥንሲ ብዘይየገድስ ማልት እዩ:: እዘይ ክንብል ካለና ኣብ ጥንሲ እዋን ቅድሚ 28 ሰሙን ዘኸዱ እውን ይካትት እዩ::,,,,
260,Groundwater,"Groundwater includes all water that is found underground within the rocks; some groundwater may be near the surface and some may be deep underground. Groundwater can be obtained from springs, boreholes, or wells. ",ኣብ ወሽጢ መሬት ዘሎ ማይ,ኣብ ከርሰ መሬት ዘሎ ማይ ማለት ኣብ ውሽጢ መሬት ዝርከብ ማይ ማለት እዩ:: ማይ ኣብ ውሽጢ ወይድማ ልዕል ኢሉ ክርክብ ይኽእል እዩ:: ኣብ ከርሰ መሬት ዘሎ ማይ ብዕይኒ ማይ ምልክዕ ብዔላ ወይ ተኻዒቱ ክወፅእ ይኽእል እዩ::,,,,
261,Groups,Groups are gatherings of two or more people with a common interest; they are a good target for your health education sessions.,ጉጅለ,ጉጅለ ማልት ክልተን ልዕለኡን ዝኾኑ እኩባት ሰባት ኮይኖም ናይ ሓባር ድሌት ዘለዎም እዮም:: ንናይ ሓባር ጥዕና ኣስተምህሮ ድማ ምችዋት እዮም::,,,,
262,HACCP,"Hazard Analysis Critical Control Point system (HACCP)  can be applied at all stages in the production, processing and handling of food products. ",ኤችአክክፒ,,,,,
263,Haemoglobin,"Haemoglobin is the red, iron-rich protein that gives red blood cells their colour and enables them to pick up oxygen and transport it around the body. ",ሄሞግሎቢን ,ንጥረ ነገር ሓፂን ብበዝሒ ዘለዎ ፕሮቲን ኮይኑ ቀይሕ ወህዮ ደም ንምስራሕ ይጠቅም,,,,
264,Haemorrhage,Excessive blood loss.,መድመይቲ ,ድም ብበዝሒ ክፈስስ ከሎ,,,,
265,Haemorrhoids,"Haemorrhoids (also known as piles) are swollen veins around the anus. They may burn, hurt, or itch. Sitting or standing a lot can make haemorrhoids worse. ",ኪንታሮት,ኪንታሮት ዝሓበጠ ሱር ደም ኮይኑ ኣብ ፊንጢጣ ድማ ይርከብ  ,,,,
266,Harassment,The act of annoying/bothering/pestering/tormenting.,ትንኮሳ,ትንኮሳዊ ተግባር ማልት እዩ ,,,,
267,Harbourage,A shelter or refuge.,መዓስከር,መዓስከር ማለት እዩ ,,,,
268,HEADS,Home Education Activities Drugs Sexuality. The HEADS assessment tool is used to assess adolescents in areas of difficulty that may be indicative of social and psychological problems.,,,,,,
269,Heartburn,"A burning feeling or pain in the stomach, or between the breasts, is called indigestion or heartburn. E.g. Heartburn happens because the growing baby crowds the mother's stomach and pushes it higher than usual. ",ቅሓር ወይ ምቅፃል ውሽጢ ኣፍ ልቢ ,ኣብ ኣፍ ልቢ ካባቢ ምቅፃል ውይ ቀሓር ክስመዐካ ከሎ:: በተለይ ጥንሲ እናዓበየ ክኸይድ ከሎ ንአደታት ዝስመዐን ሕማም እዩ::,,,,
270,Height-age,The age that corresponds to the child's height when plotted at the 50th percentile on a growth chart.,ዕድመን ንውሓትን,ዕድመን ንውሓትን ምጥጣን ,,,,
271,Helminths,"The collective name given to parasitic worms. They have complicated lifecycles, and some helminths require transmission between humans and other host animals before they mature. ",ፅግዕተኛ ሰብነት ዝኾኑ ሓሳኹት ,ፅግዕተኛ ሰብነት ዝኾኑ ሓሳኹት ,,,,
272,Hepatitis,"Medical condition defined by serious inflammation of the liver. Several viruses can cause hepatitis, but the hepatitis B virus (or HBV) is the most important one. Hepatitis B disease is a major global health problem and the most serious type of viral hepatitis. ",ቁጠዐ ፀላም ከብዲ ,ፀላም ከብዲ ኣዙይ ከብድ ብዝኾነ ክትቁጣዕ ከላ:: መንሲኤ ድማ ቫይረስ ክኸውን ይኽእል:: መብዛሕቲኡ ጊዜ ድማ ብሄፓታይተስ  ቢ ዝመፅእ ሕማም እዩ:: ,,,,
273,HIV,"Human Immunodeficiency Virus that causes the Acquired Immunodeficiency Syndrome (AIDS). HIV destroys the body's defences against other infections, which lead to death if the person is not treated appropriately with anti-HIV drugs. HIV is carried in the blood of an infected person and also appears in the genital tract of infected men and women. ",ኤችኣይቪ,ኤችኣይቪ ናይ ሰብነት ምክልኻል ዓቅሚ ዝዳኽም ሕማም እዩ:: ብኤችኣይቪ ዝተትሓዙ ሰባት መድሓኒት እንድሕር ዘይወሲዶም ክሞቱ ይኽእሉ እዮም:: ብኤችኣይቪ ኣብ ደምን ናይ ብልዕቲ ኣካልትን ይርከብ እዩ,,,,
274,Holistic,Treating the whole person rather than just the symptoms of a disease. E.g. Taking into account all of the child's problems including the major childhood illnesses in the assessment and treatment of illness.,ምሉእነት,ምሉእነት,,,,
275,Hormones,"Hormones are signalling substances produced by collections of cells, called endocrine glands, which release their hormones into the blood. Different hormones control or regulate the activity of different cells.",ሆርሞንስ,ሆርሞን መልእኽቲ መተሓላልፍቲ ኮይኖም ኣብ ወህዮታት ኤንዶክራይን ዝስርሑ እዮም :: ካብኡ ድማ ናብ ደም ይኣትዉ:: ዝተፈላለዩ ሆርሞናት ዝተፈላለዩ ስራሕቲ ቁፅፅር ኣለዎም::,,,,
276,Host,"The host is any susceptible organism that could be affected by a disease. Plants, animals or humans can be invaded by the infectious agent and become the host. ",ሆስት,ሆስት ማለት ዝኾነ ህይወት ዘለዎ ነገር ንሕማም ዝተቃልዐ ማልት እዩ::ኣትክልቲ እንስሳት ሰባት በቲ ተህዋስ ክውረሩን ክጥቁዑን ይኽእሉ እዮም,,,,
277,Hygiene,Hygiene generally refers to the set of practices associated with the preservation of health and healthy living. ,ፅሬት,ፅሬት ማለት ጥዕናኻ ንምሕላው ዝገበር ተግባርን ልምድን እዩ ,,,,
278,Hypertension,"High blood pressure. There are many causes of hypertension, including kidney diseases, narrowing of the aorta (the biggest artery leaving the heart), diabetes,the excessive use of alcohol and some medical drugs.",ፀቅጢ ደም,ፀቅጢ ደም ብዝተፋላለየ ነገር ይመፅእ ንኣብነት ብናይ ኩላሊት ሕማም ምፅባብ ዓብዪ ድም ሱር ኣኦርታ ሕማም ሽኮርያ ኣልኮል ምዝውታርን ካልኦት መድሓኒታት ምውሳድን ,,,,
279,Hypoglycemia,Very low blood sugar.,ኣብ ሰወነት ዘጋጥም ዋሕዲ ሽኮር,ኣብ ሰወነት ዘጋጥም ዋሕዲ ሽኮር,,,,
280,Hypothermia,"Excessive cooling of a person or reduction of body temperature which, if not prevented, may result in the body systems stopping their functions.",ሙቀት ሰብነት ናብ ዝተሓተ ደረጃ እንትወርድ,ሙቀት ሰብነት ናብ ዝተሓተ ደረጃ እንትወርድን ብጣዕሚ እንተወሪዱ ድማ ሰብነት ጠጠው ክብል ይገብር ,,,,
281,Hypoxia,Acute shortage of oxygen in the blood.,ዘፃድፍ ዋሕዲ ኦክስጅን ኣብ ደም እንተጋጥም ,ዘፃድፍ ዋሕዲ ኦክስጅን ኣብ ደም እንተጋጥም ,,,,
282,Ice-packs,"Ice-packs are flat, rectangular plastic bottles filled with water and then either kept at refrigerator temperature, or frozen and then conditioned for use in vaccine carriers and cold boxes. The number of ice-packs required for a cold box or vaccine carrier varies. ",በረዶ ዘመልአ ፕላስቲክ ጠርሙስ,በረዶ ዝመልአ ፕላስቲክ ክታብት ንምሓዝን ንምጉዓዝን ይጠቅም,,,,
283,Identify,"Determine, place, know.",ምፍላይ,ምፍላጥን ምፍላይን ,,,,
284,Illicit,Not legally permitted or authorized. Illicit substances are those which are prohibited by law. ,ብሕጊ ዝተኸልከለ,ብሕጊ ዝተኸልከለ ወይ ዘይተፈቅደ ንኣብነት ብሕጊ ዝተኸልከል ንጥረ ነገር ወይ መድሓኒት,,,,
285,Illness,"Unhealthy condition, poor health, sickness.",ሕማም,ጥዕና ዘይብሉ ኩነታት,,,,
286,Immune-competent,An immune-competent person is an individual whose immune system is healthy and functions normally. ,ልዑል ሕማም ናይ ምክልኻል ዓቅሚ ,ልዑል ሕማም ናይ ምክልኻል ዓቅሚ ዘለዎ ሰብ,,,,
287,Immunity,"The resistance of an individual to communicable diseases caused by infectious agents. The main types of infectious agents are bacteria, viruses, fungi, protozoa and parasites",ዓቅሚ ምክልኻል ተመሓላለፍቲ ሕማማት ,ፅቡቅ ዓቅሚ ምክልኻል ተመሓላለፍቲ ሕማማት ዘለዎ ሰብ እቶም ተመሓላለፍቲ ነገራት ድማ ባክተርያ ቫይረስ ፋንገስ ፕሮቶዝዋን ፓራሳይትስ ክኾኑ ይኽእሉ እዮም,,,,
288,Immunization,"Medicines that give protection against specific diseases, for example, diphtheria, whooping cough, tetanus, polio, tuberculosis and measles.",ክትባት ,ምድሓኒት ኮይኑ ሕማም ንምክልኻል ዘኽእል ንኣብነት ክትባት ዲፍተርያ ሁፒንግ ካፍ ቴታነስ ፖለዮ ቲቢ ንፍዮን ,,,,
289,Immunogenic,Causing or capable of producing immunity.,ሕማማት ናይ ምክልኻል ዓቅሚ ንምፍጣር ዘኽእል  ,ሕማማት ናይ ምክልኻል ዓቅሚ ንምፍጣር ዘኽእል ነጥረ ነገር ,,,,
290,IMNCI,"Integrated Management of Newborn and Childhood Illness (IMNCI) is an integrated approach to child health that focuses on the wellbeing of the whole child. It is a strategy that integrates all available measures for health promotion, prevention and integrated management of childhood diseases through their early detection and effective treatment, and promotion of healthy habits within the family and community.",ኣይኤምኤንሲኣይ,ዝተዋደደ ምብልፃግ ጥዕናን ምክልኻል ሕማማትን ምሕካም ዝሓመሙ ህፃናትን ዘካትት ኮይኑ ድሕንነት እቲ ህፃን ንምርግጋፅ ዝግበር ኣንፍት ግልጋልት ጥዕና እዩ  ,,,,
291,Impact,"An impact is an immediate effect or change produced by an intervention. In health education, these immediate changes may include changes in awareness, knowledge, attitudes, beliefs, skills or health-related behaviours. Impact evaluation refers to assessing the immediate effects of your health education campaign/program. ",ሳዕቤን ወይ ውፅኢት,ሓደ ነገር ብምስራሕኻ ዝመፅእ ለወጢ:: ንኣብነት ጥዕና ኣስተምህሮ ምስ ሃብካ ዝመፅእ ለውጢ ኣብ ምፍልጠት እምነት ኣመለኻኽታ ኢሉ እውን ኣብ ክእለትን ተግባ ርን ዝመፅእ ለውጢ,,,,
292,Impairment,"The state of being diminished, weakened, or damaged, especially mentally or physically. E.g. visual impairment is a decreased ability to see.",ምጉዳል/ምትእጉጋል,ሓደ ነገር እንትቅንስ ወይ እንትዳሸም ወይ ድማ እንትጉዳእ ማለት እዩ በተለይ ድማ ,,,,
293,Implanon,"A single-rod contraceptive implant prepared from another type of progestin, which gives effective protection for three years. It looks like a small flexible plastic matchstick. It can be inserted into the arm following a simple procedure, similar to an injection.",ሜላ ጥንሲ መከላኸሊ ኣብ ቅልፅም ኢድ ዝቅበር,ሜላ ጥንሲ መከላኸሊ ኣብ ቅልፅም ኢድ ዝቅበር ኮይኑ ፕሮጀስተሮን ዝባሃል ንጥረ ነገር ዝሓዘ እዩ ,,,,
294,Implantation,"In human fertilisation, implantation occurs when the blastocyst reaches the uterus and embeds itself in the thickened endometrium (lining of the uterus). ",ድቂ ኣብ ማህጸን እንትትከል,ድቂ ናብ ማህጸን ወሪዱ  ኣብ ግድገዳ ወይ ድማ መንደቅ ማህፀን ክትከል ከሎ,,,,
